feedback_id,member_id,consultation_id,rating,feedback_text,feedback_date
FB00051,M001533,CN003942,1,Excellent follow-up care,2025-06-04
FB00052,M000776,CN003851,4,Doctor explained everything clearly,2025-09-10
FB00053,M000229,CN000619,3,Average experience overall,2025-02-10
FB00054,M001751,CN003244,3,"Great experience, doctor was very attentive",2025-05-03
FB00055,M000011,CN005359,4,"Great experience, doctor was very attentive",2025-09-17
FB00056,M001027,CN005181,3,Telemedicine call quality was poor,2025-01-19
FB00057,M000856,CN000046,5,Would recommend to others,2024-06-09
FB00058,M000807,CN004709,5,Average experience overall,2025-08-15
FB00059,M000046,CN004732,3,Would recommend to others,2024-06-07
FB00060,M001821,CN000947,5,Staff was helpful and courteous,2024-07-23
FB00061,M001472,CN001392,5,Would recommend to others,2024-06-03
FB00062,M001118,CN001729,3,Telemedicine call quality was poor,2025-12-16
FB00063,M002465,CN005501,5,Excellent follow-up care,2025-09-26
FB00064,M001827,CN002695,4,Very satisfied with the consultation,2025-10-02
FB00065,M002233,CN004093,4,"Great experience, doctor was very attentive",2024-09-09
FB00066,M002156,CN005454,5,Staff was helpful and courteous,2025-06-17
FB00067,M002103,CN002858,5,Long wait time at the clinic,2025-12-17
FB00068,M001851,CN001803,4,"Great experience, doctor was very attentive",2025-03-04
FB00069,M002208,CN005203,3,Long wait time at the clinic,2024-10-24
FB00070,M002098,CN002351,5,"Great experience, doctor was very attentive",2024-12-14
FB00071,M001476,CN005970,3,Doctor explained everything clearly,2025-12-22
FB00072,M000109,CN002418,4,Staff was helpful and courteous,2025-08-29
FB00073,M001350,CN004297,3,"Great experience, doctor was very attentive",2024-01-18
FB00074,M000906,CN000138,5,"Great experience, doctor was very attentive",2024-05-12
FB00075,M000637,CN000224,3,"Great experience, doctor was very attentive",2025-01-22
FB00076,M001749,CN001563,4,Very satisfied with the consultation,2024-11-28
FB00077,M000891,CN001051,1,Average experience overall,2025-12-28
FB00078,M001344,CN001344,5,Would recommend to others,2025-06-10
FB00079,M001459,CN000694,5,Very satisfied with the consultation,2025-07-05
FB00080,M000079,CN004268,4,Very satisfied with the consultation,2024-06-23
FB00081,M002363,CN004257,3,Telemedicine call quality was poor,2024-04-29
FB00082,M001306,CN003213,3,Needs faster appointment scheduling,2025-05-23
FB00083,M001076,CN003441,4,"Great experience, doctor was very attentive",2025-05-22
FB00084,M001896,CN002255,5,Long wait time at the clinic,2024-05-07
FB00085,M002102,CN002084,1,Excellent follow-up care,2025-03-20
FB00086,M000132,CN003307,5,"Great experience, doctor was very attentive",2024-12-21
FB00087,M000882,CN002042,3,"Great experience, doctor was very attentive",2024-06-12
FB00088,M002097,CN004333,3,Excellent follow-up care,2025-05-26
FB00089,M000945,CN003677,4,Would recommend to others,2024-07-30
FB00090,M000781,CN001094,4,Very satisfied with the consultation,2024-04-22
FB00091,M002183,CN001462,5,Very satisfied with the consultation,2024-06-26
FB00092,M000692,CN001924,1,Staff was helpful and courteous,2025-11-06
FB00093,M001116,CN000891,5,Excellent follow-up care,2024-02-09
FB00094,M000733,CN003739,5,Telemedicine call quality was poor,2025-09-08
FB00095,M002280,CN004595,3,Excellent follow-up care,2025-05-25
FB00096,M002382,CN001868,4,Long wait time at the clinic,2024-10-30
FB00097,M002392,CN000865,4,Staff was helpful and courteous,2025-11-20
FB00098,M000493,CN002038,4,Doctor explained everything clearly,2025-05-06
FB00099,M001169,CN002386,3,Long wait time at the clinic,2025-12-03
FB00100,M000859,CN000482,5,Doctor explained everything clearly,2025-08-13
FB00101,M001518,CN001240,4,Needs faster appointment scheduling,2024-03-11
FB00102,M000578,CN000703,5,Long wait time at the clinic,2025-03-27
FB00103,M000938,CN000105,2,Average experience overall,2025-08-18
FB00104,M000233,CN001114,4,"Great experience, doctor was very attentive",2024-01-18
FB00105,M002306,CN001554,4,Telemedicine call quality was poor,2024-01-27
FB00106,M000573,CN000879,5,Average experience overall,2025-09-24
FB00107,M001796,CN004003,1,Excellent follow-up care,2025-06-27
FB00108,M001964,CN003406,3,Average experience overall,2024-06-09
FB00109,M000380,CN005223,5,Would recommend to others,2024-05-20
FB00110,M000431,CN000785,5,Telemedicine call quality was poor,2024-12-08
FB00111,M000677,CN004655,3,Very satisfied with the consultation,2025-11-06
FB00112,M000899,CN004850,4,Long wait time at the clinic,2025-03-03
FB00113,M000336,CN001912,4,Excellent follow-up care,2025-02-22
FB00114,M002060,CN003548,3,Long wait time at the clinic,2025-10-21
FB00115,M000859,CN003509,3,Needs faster appointment scheduling,2025-10-15
FB00116,M000265,CN005406,3,Long wait time at the clinic,2024-04-20
FB00117,M001190,CN004965,4,Average experience overall,2024-05-05
FB00118,M000028,CN003174,5,Long wait time at the clinic,2024-11-08
FB00119,M000156,CN001007,4,"Great experience, doctor was very attentive",2024-10-12
FB00120,M000473,CN003634,1,Average experience overall,2024-11-02
FB00121,M001790,CN004306,3,Telemedicine call quality was poor,2024-03-16
FB00122,M000938,CN000869,4,Needs faster appointment scheduling,2024-07-03
FB00123,M002316,CN004376,4,Doctor explained everything clearly,2024-02-12
FB00124,M002013,CN000184,1,"Great experience, doctor was very attentive",2024-05-28
FB00125,M002488,CN002187,4,Excellent follow-up care,2024-11-04
FB00126,M001799,CN003350,4,Doctor explained everything clearly,2024-12-01
FB00127,M001150,CN002081,4,Staff was helpful and courteous,2025-07-13
FB00128,M000323,CN002057,4,Very satisfied with the consultation,2025-12-27
FB00129,M000721,CN005810,4,Staff was helpful and courteous,2024-08-13
FB00130,M002013,CN000184,4,Telemedicine call quality was poor,2024-05-28
FB00131,M000116,CN004209,5,Average experience overall,2024-11-17
FB00132,M000476,CN004349,5,Long wait time at the clinic,2025-10-08
FB00133,M001868,CN002787,3,Very satisfied with the consultation,2024-05-16
FB00134,M000575,CN005199,4,Very satisfied with the consultation,2024-03-15
FB00135,M001076,CN004479,3,Long wait time at the clinic,2024-06-11
FB00136,M001793,CN005841,5,Needs faster appointment scheduling,2024-06-12
FB00137,M001131,CN000732,5,Staff was helpful and courteous,2024-05-22
FB00138,M002249,CN000279,5,Very satisfied with the consultation,2024-12-04
FB00139,M001257,CN002891,4,Staff was helpful and courteous,2025-06-23
FB00140,M002498,CN002063,3,Needs faster appointment scheduling,2024-01-18
FB00141,M001685,CN004188,3,Excellent follow-up care,2024-11-26
FB00142,M000508,CN004708,1,Would recommend to others,2025-05-14
FB00143,M000362,CN000866,3,Doctor explained everything clearly,2024-05-30
FB00144,M001778,CN001362,5,Doctor explained everything clearly,2025-11-09
FB00145,M002407,CN005930,4,Would recommend to others,2025-07-16
FB00146,M001676,CN001000,5,Very satisfied with the consultation,2025-05-07
FB00147,M000086,CN004321,5,Long wait time at the clinic,2025-05-31
FB00148,M002218,CN001428,5,Would recommend to others,2024-02-09
FB00149,M001650,CN004478,5,Doctor explained everything clearly,2024-07-13
FB00150,M002055,CN002622,5,Staff was helpful and courteous,2025-08-06
FB00151,M001221,CN000889,4,Very satisfied with the consultation,2024-03-18
FB00152,M001403,CN001702,5,Needs faster appointment scheduling,2024-02-02
FB00153,M001708,CN005488,5,"Great experience, doctor was very attentive",2025-09-01
FB00154,M000158,CN002234,1,Excellent follow-up care,2025-12-08
FB00155,M000097,CN001495,3,Long wait time at the clinic,2025-04-30
FB00156,M002089,CN000618,2,Needs faster appointment scheduling,2024-11-02
FB00157,M001269,CN004812,4,"Great experience, doctor was very attentive",2025-08-11
FB00158,M000778,CN003821,1,Staff was helpful and courteous,2024-05-25
FB00159,M001595,CN002199,5,Telemedicine call quality was poor,2025-08-02
FB00160,M001754,CN004825,5,"Great experience, doctor was very attentive",2024-08-25
FB00161,M001608,CN004004,3,Would recommend to others,2024-04-23
FB00162,M000449,CN003436,3,Long wait time at the clinic,2024-12-20
FB00163,M001274,CN005671,4,Long wait time at the clinic,2025-03-18
FB00164,M000672,CN002504,2,"Great experience, doctor was very attentive",2025-08-14
FB00165,M002411,CN003063,5,Very satisfied with the consultation,2024-12-20
FB00166,M000261,CN005307,4,Excellent follow-up care,2025-04-11
FB00167,M001182,CN000906,4,Would recommend to others,2024-01-13
FB00168,M001542,CN000902,4,Excellent follow-up care,2025-02-10
FB00169,M001922,CN003970,5,"Great experience, doctor was very attentive",2024-01-17
FB00170,M002124,CN004142,5,Average experience overall,2025-04-07
FB00171,M000355,CN001434,3,Staff was helpful and courteous,2025-11-08
FB00172,M000770,CN001680,3,Long wait time at the clinic,2025-06-17
FB00173,M001322,CN003397,1,Very satisfied with the consultation,2024-04-08
FB00174,M001589,CN001664,5,Excellent follow-up care,2025-10-30
FB00175,M002238,CN004339,4,Average experience overall,2024-03-20
FB00176,M002212,CN001251,2,Excellent follow-up care,2025-01-25
FB00177,M000476,CN005536,4,Telemedicine call quality was poor,2025-02-21
FB00178,M001248,CN004791,4,Doctor explained everything clearly,2025-03-06
FB00179,M000765,CN004204,3,Telemedicine call quality was poor,2025-01-27
FB00180,M000976,CN000959,5,Doctor explained everything clearly,2025-08-03
FB00181,M000094,CN000575,5,Would recommend to others,2025-09-23
FB00182,M001030,CN001687,5,Staff was helpful and courteous,2025-11-15
FB00183,M001101,CN004951,5,Very satisfied with the consultation,2025-09-17
FB00184,M000162,CN005252,5,Staff was helpful and courteous,2024-03-28
FB00185,M002144,CN005855,5,Very satisfied with the consultation,2025-12-19
FB00186,M001807,CN003549,2,Excellent follow-up care,2024-11-08
FB00187,M000893,CN002825,4,Very satisfied with the consultation,2024-08-27
FB00188,M002130,CN004299,4,Needs faster appointment scheduling,2024-12-25
FB00189,M001357,CN001010,4,Would recommend to others,2024-09-30
FB00190,M002235,CN003536,2,Staff was helpful and courteous,2025-03-02
FB00191,M001323,CN000593,4,"Great experience, doctor was very attentive",2024-10-18
FB00192,M001918,CN004819,3,Needs faster appointment scheduling,2024-05-06
FB00193,M001074,CN004927,3,Doctor explained everything clearly,2025-07-08
FB00194,M001153,CN003729,4,Would recommend to others,2024-12-22
FB00195,M000557,CN003327,2,Excellent follow-up care,2025-04-06
FB00196,M001001,CN002269,4,Very satisfied with the consultation,2025-10-05
FB00197,M002207,CN003607,5,Telemedicine call quality was poor,2025-07-05
FB00198,M000063,CN000738,3,"Great experience, doctor was very attentive",2024-05-04
FB00199,M001061,CN002220,1,Telemedicine call quality was poor,2024-07-28
FB00200,M000970,CN002012,3,Needs faster appointment scheduling,2025-12-14
FB00201,M001601,CN000153,4,"Great experience, doctor was very attentive",2024-08-22
FB00202,M001023,CN005448,4,"Great experience, doctor was very attentive",2024-10-18
FB00203,M000093,CN002105,3,Excellent follow-up care,2024-06-27
FB00204,M001972,CN002551,4,Average experience overall,2025-04-14
FB00205,M002462,CN005250,3,Long wait time at the clinic,2025-09-14
FB00206,M000720,CN005411,4,Doctor explained everything clearly,2024-08-12
FB00207,M001176,CN002317,5,Long wait time at the clinic,2025-08-26
FB00208,M001437,CN005304,3,Doctor explained everything clearly,2025-01-06
FB00209,M000081,CN003036,5,Telemedicine call quality was poor,2025-10-26
FB00210,M001897,CN002322,1,Staff was helpful and courteous,2025-02-25
FB00211,M000898,CN001140,3,Very satisfied with the consultation,2024-01-26
FB00212,M000345,CN002657,4,Staff was helpful and courteous,2025-03-04
FB00213,M002135,CN001609,5,Would recommend to others,2025-12-25
FB00214,M001985,CN002793,1,Doctor explained everything clearly,2025-11-28
FB00215,M002369,CN000995,4,Doctor explained everything clearly,2025-01-23
FB00216,M000670,CN005608,3,Doctor explained everything clearly,2024-01-05
FB00217,M000709,CN003716,4,Doctor explained everything clearly,2025-11-26
FB00218,M000825,CN002132,3,Would recommend to others,2025-01-24
FB00219,M001402,CN005105,4,Very satisfied with the consultation,2024-05-07
FB00220,M000215,CN000093,5,Doctor explained everything clearly,2025-04-13
FB00221,M001116,CN002275,4,Telemedicine call quality was poor,2024-09-04
FB00222,M002096,CN004168,5,Doctor explained everything clearly,2025-05-16
FB00223,M000304,CN000319,5,Needs faster appointment scheduling,2024-10-09
FB00224,M001119,CN003310,5,Staff was helpful and courteous,2024-09-12
FB00225,M001277,CN005845,5,Long wait time at the clinic,2025-05-07
FB00226,M000186,CN001725,5,Needs faster appointment scheduling,2025-12-31
FB00227,M000017,CN003196,4,Average experience overall,2025-07-05
FB00228,M002451,CN004086,4,Needs faster appointment scheduling,2024-03-19
FB00229,M000472,CN005102,5,Average experience overall,2024-11-26
FB00230,M000346,CN004195,5,Long wait time at the clinic,2025-06-07
FB00231,M002088,CN005937,4,Average experience overall,2024-05-20
FB00232,M000576,CN001880,5,Doctor explained everything clearly,2025-11-17
FB00233,M001279,CN005823,4,Excellent follow-up care,2024-09-04
FB00234,M000895,CN003341,3,Staff was helpful and courteous,2025-06-07
FB00235,M000124,CN001238,3,Staff was helpful and courteous,2024-05-12
FB00236,M002250,CN001090,5,Excellent follow-up care,2024-02-14
FB00237,M001437,CN005233,3,Staff was helpful and courteous,2024-07-31
FB00238,M000389,CN002270,5,Excellent follow-up care,2024-11-26
FB00239,M001773,CN001194,5,Telemedicine call quality was poor,2024-11-22
FB00240,M001695,CN001945,4,Excellent follow-up care,2024-12-06
FB00241,M002153,CN004384,3,Long wait time at the clinic,2025-09-26
FB00242,M001642,CN005392,4,Doctor explained everything clearly,2025-07-13
FB00243,M002464,CN000989,1,Very satisfied with the consultation,2025-11-13
FB00244,M002192,CN003351,5,Long wait time at the clinic,2024-05-16
FB00245,M001992,CN004607,5,Doctor explained everything clearly,2025-10-14
FB00246,M001848,CN002365,2,Staff was helpful and courteous,2025-06-27
FB00247,M002347,CN005943,5,"Great experience, doctor was very attentive",2025-01-13
FB00248,M002333,CN005525,3,Telemedicine call quality was poor,2025-11-12
FB00249,M001074,CN004927,4,Doctor explained everything clearly,2025-07-08
FB00250,M002279,CN004679,5,Needs faster appointment scheduling,2024-07-27
FB00251,M001354,CN002117,4,Would recommend to others,2024-02-05
FB00252,M001978,CN002214,3,Staff was helpful and courteous,2024-12-03
FB00253,M000858,CN001644,2,"Great experience, doctor was very attentive",2025-02-04
FB00254,M001753,CN004658,2,Would recommend to others,2024-01-11
FB00255,M001057,CN004030,5,Long wait time at the clinic,2024-08-10
FB00256,M000507,CN003674,5,Very satisfied with the consultation,2024-06-27
FB00257,M000838,CN005589,4,"Great experience, doctor was very attentive",2024-11-16
FB00258,M001281,CN002728,2,Average experience overall,2024-06-20
FB00259,M001660,CN003621,3,"Great experience, doctor was very attentive",2024-08-09
FB00260,M000799,CN003973,3,Staff was helpful and courteous,2025-08-14
FB00261,M001086,CN000484,3,"Great experience, doctor was very attentive",2024-08-20
FB00262,M001467,CN002534,4,Excellent follow-up care,2024-06-04
FB00263,M000020,CN003086,2,Needs faster appointment scheduling,2025-03-28
FB00264,M000494,CN004879,5,Long wait time at the clinic,2024-11-29
FB00265,M000948,CN002288,3,Excellent follow-up care,2024-10-30
FB00266,M000461,CN000920,5,Would recommend to others,2025-10-21
FB00267,M001751,CN003244,4,Would recommend to others,2025-05-03
FB00268,M000661,CN002262,4,"Great experience, doctor was very attentive",2024-04-10
FB00269,M001910,CN000896,3,Needs faster appointment scheduling,2024-01-21
FB00270,M001745,CN003842,3,Excellent follow-up care,2025-01-18
FB00271,M001126,CN003471,3,Would recommend to others,2025-02-17
FB00272,M002417,CN003054,1,Doctor explained everything clearly,2024-02-28
FB00273,M000348,CN005575,4,Excellent follow-up care,2025-01-31
FB00274,M001429,CN000025,3,"Great experience, doctor was very attentive",2025-10-08
FB00275,M000274,CN002080,1,"Great experience, doctor was very attentive",2025-06-04
FB00276,M001514,CN004566,4,Very satisfied with the consultation,2025-10-05
FB00277,M001743,CN000932,3,Average experience overall,2025-11-12
FB00278,M001953,CN001271,4,"Great experience, doctor was very attentive",2024-09-19
FB00279,M001108,CN000894,5,Long wait time at the clinic,2025-02-08
FB00280,M001165,CN001574,4,Excellent follow-up care,2024-06-20
FB00281,M001912,CN005963,4,Needs faster appointment scheduling,2025-12-23
FB00282,M000372,CN004728,3,Average experience overall,2024-08-17
FB00283,M001371,CN003111,5,Long wait time at the clinic,2025-06-16
FB00284,M000300,CN005006,1,Long wait time at the clinic,2024-11-23
FB00285,M002477,CN000508,4,Would recommend to others,2024-02-17
FB00286,M002450,CN002294,5,Needs faster appointment scheduling,2024-03-27
FB00287,M001650,CN003990,5,Telemedicine call quality was poor,2025-01-07
FB00288,M001184,CN000010,4,"Great experience, doctor was very attentive",2025-08-15
FB00289,M001700,CN003954,5,Long wait time at the clinic,2024-01-29
FB00290,M001024,CN002724,3,Long wait time at the clinic,2025-01-19
FB00291,M001443,CN001875,5,Would recommend to others,2025-01-01
FB00292,M000164,CN004166,4,Telemedicine call quality was poor,2025-05-08
FB00293,M000454,CN000705,5,Excellent follow-up care,2024-05-04
FB00294,M001245,CN003713,5,Excellent follow-up care,2025-02-22
FB00295,M002432,CN004717,4,Long wait time at the clinic,2025-09-17
FB00296,M000100,CN004550,2,Staff was helpful and courteous,2024-09-11
FB00297,M000938,CN000869,5,Would recommend to others,2024-07-03
FB00298,M000405,CN003941,1,Staff was helpful and courteous,2025-04-15
FB00299,M000263,CN000205,4,Very satisfied with the consultation,2025-09-08
FB00300,M001676,CN002092,4,Excellent follow-up care,2024-08-05
FB00301,M001312,CN004533,4,Doctor explained everything clearly,2025-06-17
FB00302,M000620,CN001638,1,Very satisfied with the consultation,2024-03-22
FB00303,M001011,CN005710,4,Needs faster appointment scheduling,2025-12-04
FB00304,M000224,CN003019,5,Long wait time at the clinic,2025-05-31
FB00305,M001566,CN005990,5,Excellent follow-up care,2025-10-20
FB00306,M000445,CN001064,3,Telemedicine call quality was poor,2024-07-30
FB00307,M001233,CN004295,3,Excellent follow-up care,2024-12-02
FB00308,M001206,CN000259,5,Excellent follow-up care,2024-07-25
FB00309,M000533,CN004279,4,Telemedicine call quality was poor,2024-02-02
FB00310,M000031,CN001259,2,Excellent follow-up care,2025-05-04
FB00311,M001327,CN003640,5,"Great experience, doctor was very attentive",2024-10-27
FB00312,M000106,CN001436,4,Would recommend to others,2024-01-20
FB00313,M001470,CN004485,2,Telemedicine call quality was poor,2025-09-01
FB00314,M001435,CN001201,4,Telemedicine call quality was poor,2024-03-29
FB00315,M001101,CN004305,4,Needs faster appointment scheduling,2025-08-22
FB00316,M002491,CN001376,5,Telemedicine call quality was poor,2024-05-18
FB00317,M001743,CN000932,5,Staff was helpful and courteous,2025-11-12
FB00318,M001193,CN001111,4,Telemedicine call quality was poor,2025-11-09
FB00319,M000064,CN002958,4,Telemedicine call quality was poor,2025-06-02
FB00320,M000917,CN000068,5,Staff was helpful and courteous,2024-02-09
FB00321,M001238,CN002509,5,Telemedicine call quality was poor,2025-06-08
FB00322,M000767,CN002539,5,Excellent follow-up care,2025-08-29
FB00323,M000965,CN003545,2,Very satisfied with the consultation,2025-05-02
FB00324,M002007,CN005603,3,Long wait time at the clinic,2025-10-16
FB00325,M001324,CN004806,5,Very satisfied with the consultation,2025-05-26
FB00326,M002056,CN004924,2,Would recommend to others,2024-03-21
FB00327,M001332,CN004978,5,Long wait time at the clinic,2024-09-17
FB00328,M002429,CN000354,2,Telemedicine call quality was poor,2024-11-10
FB00329,M002183,CN001571,4,Very satisfied with the consultation,2025-04-01
FB00330,M002387,CN004527,5,Excellent follow-up care,2025-11-05
FB00331,M002218,CN004489,5,Staff was helpful and courteous,2025-01-14
FB00332,M000141,CN001221,3,Very satisfied with the consultation,2025-07-08
FB00333,M000633,CN004341,5,Would recommend to others,2024-03-03
FB00334,M000101,CN003657,5,Very satisfied with the consultation,2025-07-02
FB00335,M001875,CN004063,4,Would recommend to others,2024-05-19
FB00336,M000559,CN000070,4,Telemedicine call quality was poor,2024-10-14
FB00337,M002469,CN001737,4,Staff was helpful and courteous,2024-05-10
FB00338,M000883,CN003660,3,Needs faster appointment scheduling,2025-09-16
FB00339,M001238,CN002509,5,Telemedicine call quality was poor,2025-06-08
FB00340,M001550,CN001402,3,Doctor explained everything clearly,2025-11-08
FB00341,M000693,CN002811,5,Staff was helpful and courteous,2025-12-31
FB00342,M001930,CN001805,2,Telemedicine call quality was poor,2024-05-03
FB00343,M001531,CN005890,4,Doctor explained everything clearly,2025-08-14
FB00344,M002004,CN002884,5,Very satisfied with the consultation,2025-08-01
FB00345,M002430,CN003414,2,"Great experience, doctor was very attentive",2024-01-20
FB00346,M000009,CN001488,5,Excellent follow-up care,2025-05-31
FB00347,M000112,CN001947,4,Long wait time at the clinic,2024-04-03
FB00348,M000698,CN000587,5,Staff was helpful and courteous,2025-05-19
FB00349,M000957,CN005533,2,Long wait time at the clinic,2024-11-13
FB00350,M002384,CN000294,2,Staff was helpful and courteous,2025-11-15
FB00351,M000067,CN002400,3,"Great experience, doctor was very attentive",2025-06-02
FB00352,M000475,CN004217,5,Would recommend to others,2024-03-04
FB00353,M001239,CN000595,2,Doctor explained everything clearly,2025-11-12
FB00354,M001099,CN000509,3,Needs faster appointment scheduling,2025-04-30
FB00355,M002404,CN004393,3,Very satisfied with the consultation,2024-11-16
FB00356,M000191,CN002169,4,"Great experience, doctor was very attentive",2025-11-06
FB00357,M000351,CN002915,5,"Great experience, doctor was very attentive",2024-04-18
FB00358,M002177,CN005860,3,Excellent follow-up care,2025-07-12
FB00359,M002397,CN001176,4,Telemedicine call quality was poor,2024-10-26
FB00360,M001917,CN005729,5,Average experience overall,2025-09-03
FB00361,M002004,CN000021,4,Would recommend to others,2025-06-06
FB00362,M001868,CN003228,4,Staff was helpful and courteous,2024-04-16
FB00363,M000437,CN001651,4,Long wait time at the clinic,2025-12-26
FB00364,M001164,CN004329,2,Very satisfied with the consultation,2024-12-08
FB00365,M001326,CN001366,5,Very satisfied with the consultation,2025-09-06
FB00366,M000259,CN001707,4,Needs faster appointment scheduling,2024-06-18
FB00367,M002324,CN001763,5,Needs faster appointment scheduling,2025-08-20
FB00368,M000169,CN001677,5,Long wait time at the clinic,2025-01-28
FB00369,M001805,CN003329,2,Average experience overall,2024-10-16
FB00370,M000797,CN003808,4,Staff was helpful and courteous,2025-04-16
FB00371,M001064,CN005749,1,Excellent follow-up care,2024-01-23
FB00372,M002032,CN000882,3,Average experience overall,2025-07-20
FB00373,M002482,CN004221,5,Would recommend to others,2025-09-12
FB00374,M001546,CN003627,5,Very satisfied with the consultation,2024-08-03
FB00375,M001441,CN002726,2,Long wait time at the clinic,2025-06-08
FB00376,M001151,CN001555,3,"Great experience, doctor was very attentive",2024-10-29
FB00377,M002135,CN000642,4,"Great experience, doctor was very attentive",2025-02-14
FB00378,M000676,CN003718,3,Would recommend to others,2025-05-24
FB00379,M001225,CN005840,3,Needs faster appointment scheduling,2025-08-28
FB00380,M001765,CN005903,3,Needs faster appointment scheduling,2025-03-27
FB00381,M001100,CN005084,5,Average experience overall,2025-11-23
FB00382,M001429,CN000025,5,Telemedicine call quality was poor,2025-10-08
FB00383,M000630,CN000074,4,Staff was helpful and courteous,2024-06-08
FB00384,M000159,CN002118,3,Staff was helpful and courteous,2024-08-05
FB00385,M000071,CN001640,4,Long wait time at the clinic,2024-08-13
FB00386,M000362,CN004150,5,Excellent follow-up care,2024-06-15
FB00387,M001574,CN004739,5,Staff was helpful and courteous,2024-06-16
FB00388,M000968,CN001804,5,Would recommend to others,2025-04-15
FB00389,M001865,CN003831,5,"Great experience, doctor was very attentive",2024-04-29
FB00390,M001692,CN003889,3,Doctor explained everything clearly,2024-09-25
FB00391,M000999,CN002486,4,Staff was helpful and courteous,2025-07-17
FB00392,M001962,CN001414,5,"Great experience, doctor was very attentive",2025-02-12
FB00393,M001355,CN003431,5,Excellent follow-up care,2025-06-04
FB00394,M002295,CN000655,4,Long wait time at the clinic,2024-05-17
FB00395,M001113,CN001909,4,Long wait time at the clinic,2024-07-28
FB00396,M002023,CN004542,3,Needs faster appointment scheduling,2025-11-03
FB00397,M000299,CN001791,5,Doctor explained everything clearly,2024-11-29
FB00398,M000768,CN005792,3,Doctor explained everything clearly,2024-02-06
FB00399,M000395,CN003861,5,Needs faster appointment scheduling,2024-04-26
FB00400,M001153,CN000909,3,Telemedicine call quality was poor,2025-08-02
FB00401,M001005,CN003927,5,Long wait time at the clinic,2024-07-31
FB00402,M000715,CN005872,5,Would recommend to others,2025-03-22
FB00403,M001403,CN002602,1,Needs faster appointment scheduling,2025-03-05
FB00404,M000104,CN005191,4,Very satisfied with the consultation,2024-12-24
FB00405,M000582,CN005483,5,Needs faster appointment scheduling,2024-04-13
